"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"D68,""SOT23_3L_ReflowSoldering"",""4070mil"",""2415mil"",""4070mil"",""2415mil"",""4026.693mil"",""2453.386mil"",""T"",""180.00"",""BAT54S"""
"D66,""SOT23_3L_ReflowSoldering"",""4375mil"",""2285mil"",""4375mil"",""2285mil"",""4336.614mil"",""2241.693mil"",""T"",""270.00"",""BAT54S"""
"C142,""0603_ReflowSoldering_CAP"",""7605mil"",""2768.75mil"",""7605mil"",""2768.75mil"",""7605mil"",""2795.15mil"",""T"",""270.00"",""C_0603_X7R_10%_10N-50V"""
"C141,""0603_ReflowSoldering_CAP"",""5705mil"",""2365mil"",""5705mil"",""2365mil"",""5731.4mil"",""2365mil"",""T"",""180.00"",""C_0603_X7R_10%_100N-50V"""
"C140,""0603_ReflowSoldering_CAP"",""4190mil"",""2440mil"",""4190mil"",""2440mil"",""4190mil"",""2413.6mil"",""T"",""90.00"",""C_0603_X7R_10%_100N-50V"""
"C139,""0603_ReflowSoldering_CAP"",""4400mil"",""2395mil"",""4400mil"",""2395mil"",""4373.6mil"",""2395mil"",""T"",""360.00"",""C_0603_X7R_10%_100N-50V"""
"R89,""0603_ReflowSoldering_RES"",""4075mil"",""1600mil"",""4075mil"",""1600mil"",""4101.4mil"",""1600mil"",""T"",""180.00"",""RES_0603_1%_100PPM_1K"""
"T13,""DPAK"",""5050mil"",""1144.527mil"",""5050mil"",""990mil"",""5140mil"",""1299.055mil"",""T"",""90.00"",""T405-600B"""
"D52,""SOT23_3L_ReflowSoldering"",""250mil"",""2768.75mil"",""250mil"",""2768.75mil"",""288.386mil"",""2812.057mil"",""T"",""90.00"",""BZX84C4V7"""
"R64,""0603_ReflowSoldering_RES"",""9098.6mil"",""2890mil"",""9098.6mil"",""2890mil"",""9072.2mil"",""2890mil"",""T"",""360.00"",""RES_0603_1%_100PPM_47K"""
"D67,""SOD128_ReflowSoldering"",""9245.63mil"",""3145mil"",""9245.63mil"",""3145mil"",""9332.13mil"",""3145mil"",""T"",""180.00"",""PMEG4050EP"""
"R161,""0603_ReflowSoldering_RES"",""8300mil"",""1580mil"",""8300mil"",""1580mil"",""8300mil"",""1606.4mil"",""T"",""270.00"",""RES_0603_1%_100PPM_1K"""
"R160,""0603_ReflowSoldering_RES"",""1606.25mil"",""1012.5mil"",""1606.25mil"",""1012.5mil"",""1579.85mil"",""1012.5mil"",""T"",""360.00"",""RES_0603_1%_100PPM_1K"""
"JC2,""NULL"",""-2713.709mil"",""-4969mil"",""11236.291mil"",""-124mil"",""-2713.709mil"",""-4969mil"",""T"",""90.00"",""CAVALIER_2.54_BLEU_DORE_LANGUETTE_14mm"""
"VR1,""VDR_SERIE_LA_D10_H16_E7.5MM"",""8901.25mil"",""206.25mil"",""8901.25mil"",""206.25mil"",""8900.069mil"",""50.63mil"",""T"",""108.00"",""VDR_V300LA10P"""
